Country,lat,long,latlong
Canada,59.619718,-110.281201,"59.619718, -110.281201"
USA,39.092208,-102.600245,"39.092208, -102.600245"
Thailand,15.870032,100.992538,"15.870032,100.992538"
India,22.041597,79.019626,"22.041597,79.019626"
Australia,-25.274399,133.775131,"-25.274399,133.775131"
Austria,47.516232,14.550072,"47.516232,14.550072"
China,35.86166,104.195396,"35.86166,104.195396"
Denmark,56.26392,9.501785,"56.26392,9.501785"
England,52.355518,-1.17432,"52.355518,-1.17432"
FInland,61.92411,25.748152,"61.92411,25.748152"
France,46.227638,2.213749,"46.227638,2.213749"
Germany,51.165691,10.451526,"51.165691,10.451526"
Italy,41.871941,12.56738,"41.871941,12.56738"
Japan,36.204823,138.25293,"36.204823,138.25293"
Netherlands,52.132633,5.291266,"52.132633,5.291266"
Norway,60.472023,8.468946,"60.472023,8.468946"
Poland,51.919437,19.145136,"51.919437,19.145136"
Romania,45.943161,24.966761,"45.943161,24.966761"
Russia,61.52401,105.318756,"61.52401,105.318756"
South Korea,36.228415,127.753219,"36.228415,127.753219"
Switzerland,46.818188,8.227512,"46.818188,8.227512"
Sweden,61.991461,15.278982,"61.991461,15.278982"
Taiwan,23.697809,120.960518,"23.697809,120.960518"
