Company name,Device name,Crowd funded,County of origin,Release year,Form factor,Accelerometer,Gyroscope,Magnetometer,Barometer,GPS,PPG
Actofit,Fitness Tracker,TRUE,India,2017,tracker,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Adidas,MiCoach Fit Smart,FALSE,Germany,2014,tracker,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Adidas,MiCoach Smart Run,FALSE,Germany,2013,watch,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Airon,105,FALSE,Norge,2014,tracker,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Alcatel,Onetouch GO Watch,FALSE,China,2015,watch,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Alcatel,Onetouch Watch,FALSE,China,2015,watch,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Allview,Allfit,FALSE,Romania,2017,tracker,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Allview,Allwatch,FALSE,Romania,2016,watch,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Allview,Allwatch S,FALSE,Romania,2017,tracker,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Ambit Networks,AmbyGear Smart Watch,FALSE,USA,2015,watch,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Amiigo,Wristband,TRUE,USA,2013,tracker,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Apple,Watch,FALSE,USA,2015,watch,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Apple,Watch Series 1,FALSE,USA,2016,watch,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Apple,Watch Series 2,FALSE,USA,2016,watch,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
ASUS,Vivowatch,FALSE,Taiwan,2015,watch,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
ASUS,ZenWatch,FALSE,Taiwan,2014,watch,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
ASUS,Zenwatch 2,FALSE,Taiwan,2015,watch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ASUS,Zenwatch 3,FALSE,Taiwan,2016,watch,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Atlas,Fitness tracker,FALSE,USA,2014,tracker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Atlas,Wristband,TRUE,USA,2015,tracker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Atlas,Wristband2,FALSE,USA,2016,tracker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Awatch,AWatch,FALSE,Italy,2017,watch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Awatch,Comet,FALSE,Italy,2016,watch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Awatch,Marine,FALSE,Italy,2017,watch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Awatch,S,FALSE,Italy,2016,watch,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Awatch,Saturn,FALSE,Italy,2017,watch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Awatch,Stratosphere,FALSE,Italy,2016,watch,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
